Sales Person,Country,Product,Date,Amount,Clean Amount,Boxes Shipped,Price,,
Kaine Padly,USA,50% Dark Bites,03/08/2022,$70 ,70,27, $2.59 ,,
Ches Bonnell,USA,Orange Choco,10/06/2022,"$1,743 ",1743,69, $25.26 ,,
Rafaelita Blaksland,USA,Fruit & Nut Bars,18/01/2022,"$2,604 ",2604,65, $40.06 ,,
Ches Bonnell,USA,70% Dark Bites,11/05/2022,"$4,571 ",4571,122, $37.47 ,,
Barr Faughny,USA,50% Dark Bites,14/04/2022,"$13,034 ",13034,117, $111.40 ,,
Kelci Walkden,USA,White Choc,07/03/2022,"$9,422 ",9422,22, $428.27 ,,
Karlen McCaffrey,USA,Milk Bars,27/01/2022,"$4,389 ",4389,7, $627.00 ,,
Mallorie Waber,USA,85% Dark Bars,11/05/2022,"$2,632 ",2632,108, $24.37 ,,
Mallorie Waber,USA,Eclairs,22/03/2022,"$6,328 ",6328,51, $124.08 ,,
Dennison Crosswaite,USA,Fruit & Nut Bars,04/05/2022,"$1,414 ",1414,318, $4.45 ,,
Kelci Walkden,USA,99% Dark & Pure,18/08/2022,"$7,714 ",7714,238, $32.41 ,,
Kaine Padly,USA,Caramel Stuffed Bars,21/07/2022,"$5,593 ",5593,122, $45.84 ,,
Dotty Strutley,USA,Orange Choco,23/02/2022,"$1,379 ",1379,107, $12.89 ,,
Curtice Advani,USA,Spicy Special Slims,11/07/2022,"$1,603 ",1603,264, $6.07 ,,
Kelci Walkden,USA,Drinking Coco,26/07/2022,"$6,454 ",6454,160, $40.34 ,,
Rafaelita Blaksland,USA,Baker's Choco Chips,09/06/2022,"$2,863 ",2863,58, $49.36 ,,
Kelci Walkden,USA,Organic Choco Syrup,21/07/2022,"$9,870 ",9870,152, $64.93 ,,
Van Tuxwell,USA,Caramel Stuffed Bars,14/02/2022,$987 ,987,21, $47.00 ,,
Mallorie Waber,USA,Almond Choco,28/01/2022,"$6,986 ",6986,368, $18.98 ,,
Dotty Strutley,USA,Caramel Stuffed Bars,15/04/2022,"$16,982 ",16982,76, $223.45 ,,
Beverie Moffet,USA,Smooth Sliky Salty,24/03/2022,"$2,317 ",2317,352, $6.58 ,,
Jan Morforth,USA,Orange Choco,29/06/2022,$980 ,980,146, $6.71 ,,
Gigi Bohling,USA,Fruit & Nut Bars,24/05/2022,"$2,821 ",2821,112, $25.19 ,,
Curtice Advani,USA,Raspberry Choco,15/03/2022,"$2,996 ",2996,139, $21.55 ,,
Gunar Cockshoot,USA,Eclairs,03/05/2022,"$6,916 ",6916,42, $164.67 ,,
Roddy Speechley,USA,Fruit & Nut Bars,14/06/2022,"$5,509 ",5509,24, $229.54 ,,
Brien Boise,USA,Organic Choco Syrup,25/05/2022,"$16,233 ",16233,138, $117.63 ,,
Beverie Moffet,USA,50% Dark Bites,28/07/2022,"$2,450 ",2450,352, $6.96 ,,
Brien Boise,USA,Mint Chip Choco,25/05/2022,"$10,577 ",10577,150, $70.51 ,,
Brien Boise,USA,Orange Choco,28/01/2022,"$6,020 ",6020,147, $40.95 ,,
Mallorie Waber,USA,50% Dark Bites,19/04/2022,"$1,736 ",1736,13, $133.54 ,,
Dennison Crosswaite,USA,Raspberry Choco,18/01/2022,"$6,524 ",6524,257, $25.39 ,,
Ches Bonnell,USA,White Choc,11/02/2022,"$5,271 ",5271,341, $15.46 ,,
Kaine Padly,USA,Milk Bars,15/06/2022,"$15,491 ",15491,58, $267.09 ,,
Dennison Crosswaite,USA,Drinking Coco,10/05/2022,"$2,191 ",2191,138, $15.88 ,,
Ches Bonnell,USA,Organic Choco Syrup,28/07/2022,"$7,721 ",7721,14, $551.50 ,,
Roddy Speechley,USA,Peanut Butter Cubes,25/02/2022,"$1,736 ",1736,137, $12.67 ,,
Karlen McCaffrey,USA,Drinking Coco,29/06/2022,$112 ,112,223, $0.50 ,,
Karlen McCaffrey,USA,Mint Chip Choco,15/02/2022,"$15,652 ",15652,53, $295.32 ,,
Madelene Upcott,USA,White Choc,04/05/2022,"$12,250 ",12250,213, $57.51 ,,
Andria Kimpton,USA,Spicy Special Slims,23/05/2022,"$2,366 ",2366,5, $473.20 ,,
Dotty Strutley,USA,Mint Chip Choco,21/02/2022,"$5,292 ",5292,248, $21.34 ,,
Kelci Walkden,USA,Orange Choco,03/02/2022,"$1,379 ",1379,138, $9.99 ,,
Van Tuxwell,USA,Manuka Honey Choco,31/05/2022,"$2,317 ",2317,102, $22.72 ,,
Wilone O'Kielt,USA,Orange Choco,28/02/2022,"$7,042 ",7042,37, $190.32 ,,
Gigi Bohling,USA,After Nines,14/01/2022,"$1,848 ",1848,227, $8.14 ,,
Husein Augar,USA,White Choc,13/07/2022,"$2,030 ",2030,60, $33.83 ,,
Gunar Cockshoot,USA,Fruit & Nut Bars,09/03/2022,"$5,852 ",5852,93, $62.92 ,,
Barr Faughny,USA,85% Dark Bars,25/08/2022,"$12,761 ",12761,47, $271.51 ,,
Kaine Padly,USA,Organic Choco Syrup,11/03/2022,"$2,380 ",2380,22, $108.18 ,,
Camilla Castle,USA,Raspberry Choco,20/05/2022,"$3,339 ",3339,18, $185.50 ,,
Jehu Rudeforth,USA,Smooth Sliky Salty,07/07/2022,"$6,657 ",6657,154, $43.23 ,,
Rafaelita Blaksland,USA,Drinking Coco,20/06/2022,"$8,526 ",8526,73, $116.79 ,,
Beverie Moffet,USA,85% Dark Bars,23/08/2022,"$12,404 ",12404,334, $37.14 ,,
Roddy Speechley,USA,Eclairs,25/04/2022,"$3,990 ",3990,155, $25.74 ,,
Madelene Upcott,USA,Orange Choco,16/05/2022,"$7,742 ",7742,138, $56.10 ,,
Brien Boise,USA,99% Dark & Pure,25/07/2022,"$6,769 ",6769,353, $19.18 ,,
Dennison Crosswaite,USA,Milk Bars,12/05/2022,$777 ,777,60, $12.95 ,,
Gunar Cockshoot,USA,Drinking Coco,09/05/2022,"$3,843 ",3843,5, $768.60 ,,
Andria Kimpton,USA,Caramel Stuffed Bars,02/05/2022,"$8,393 ",8393,46, $182.46 ,,
Dotty Strutley,USA,99% Dark & Pure,09/08/2022,"$3,822 ",3822,320, $11.94 ,,
Karlen McCaffrey,USA,Manuka Honey Choco,01/02/2022,"$10,171 ",10171,67, $151.81 ,,
Camilla Castle,USA,50% Dark Bites,23/06/2022,"$5,908 ",5908,301, $19.63 ,,
Brien Boise,USA,Milk Bars,07/07/2022,"$14,301 ",14301,130, $110.01 ,,
Beverie Moffet,USA,Peanut Butter Cubes,18/08/2022,"$13,930 ",13930,339, $41.09 ,,
Marney O'Breen,USA,Baker's Choco Chips,26/01/2022,"$8,470 ",8470,9, $941.11 ,,
Kelci Walkden,USA,Spicy Special Slims,29/04/2022,$77 ,77,69, $1.12 ,,
Oby Sorrel,USA,Smooth Sliky Salty,04/03/2022,"$3,577 ",3577,158, $22.64 ,,
Oby Sorrel,USA,Baker's Choco Chips,12/08/2022,"$8,001 ",8001,120, $66.68 ,,
Kaine Padly,USA,Eclairs,22/08/2022,"$7,623 ",7623,10, $762.30 ,,
Roddy Speechley,USA,50% Dark Bites,11/02/2022,"$10,458 ",10458,316, $33.09 ,,
Kelci Walkden,USA,50% Dark Bites,23/03/2022,"$6,188 ",6188,223, $27.75 ,,
Camilla Castle,USA,Manuka Honey Choco,21/03/2022,"$16,401 ",16401,179, $91.63 ,,
Jehu Rudeforth,USA,99% Dark & Pure,04/01/2022,"$2,534 ",2534,219, $11.57 ,,
Gunar Cockshoot,USA,Organic Choco Syrup,10/08/2022,"$2,331 ",2331,321, $7.26 ,,
Wilone O'Kielt,USA,50% Dark Bites,18/04/2022,"$4,501 ",4501,131, $34.36 ,,
Madelene Upcott,USA,Baker's Choco Chips,22/08/2022,"$5,621 ",5621,140, $40.15 ,,
Gigi Bohling,USA,Smooth Sliky Salty,22/07/2022,"$2,583 ",2583,126, $20.50 ,,
Curtice Advani,USA,Mint Chip Choco,24/08/2022,"$4,802 ",4802,296, $16.22 ,,
Kelci Walkden,USA,Fruit & Nut Bars,17/02/2022,"$4,816 ",4816,145, $33.21 ,,
Van Tuxwell,USA,Fruit & Nut Bars,05/07/2022,"$6,279 ",6279,235, $26.72 ,,
Wilone O'Kielt,USA,Milk Bars,15/07/2022,"$5,012 ",5012,93, $53.89 ,,
Barr Faughny,USA,Almond Choco,03/02/2022,$385 ,385,78, $4.94 ,,
Jan Morforth,USA,Fruit & Nut Bars,27/06/2022,"$4,382 ",4382,361, $12.14 ,,
Beverie Moffet,USA,White Choc,11/03/2022,"$5,292 ",5292,134, $39.49 ,,
Dotty Strutley,USA,Fruit & Nut Bars,13/07/2022,"$2,898 ",2898,276, $10.50 ,,
Curtice Advani,USA,Drinking Coco,07/02/2022,"$5,187 ",5187,142, $36.53 ,,
Wilone O'Kielt,USA,Choco Coated Almonds,06/06/2022,"$9,457 ",9457,6," $1,576.17 ",,
Marney O'Breen,USA,Raspberry Choco,23/05/2022,"$6,069 ",6069,151, $40.19 ,,
Dotty Strutley,USA,85% Dark Bars,25/04/2022,"$10,220 ",10220,508, $20.12 ,,
Mallorie Waber,USA,Peanut Butter Cubes,23/05/2022,"$1,162 ",1162,18, $64.56 ,,
Rafaelita Blaksland,USA,Smooth Sliky Salty,27/07/2022,"$15,057 ",15057,212, $71.02 ,,
Rafaelita Blaksland,USA,White Choc,16/08/2022,"$4,704 ",4704,126, $37.33 ,,
Ches Bonnell,USA,Choco Coated Almonds,04/01/2022,"$14,525 ",14525,92, $157.88 ,,
Husein Augar,USA,99% Dark & Pure,21/02/2022,"$9,534 ",9534,111, $85.89 ,,
Dennison Crosswaite,USA,Eclairs,25/05/2022,"$2,044 ",2044,90, $22.71 ,,
Dennison Crosswaite,USA,Organic Choco Syrup,18/07/2022,"$12,656 ",12656,126, $100.44 ,,
Oby Sorrel,USA,Manuka Honey Choco,25/07/2022,"$4,340 ",4340,86, $50.47 ,,
Gigi Bohling,USA,Peanut Butter Cubes,09/05/2022,$280 ,280,75, $3.73 ,,
Wilone O'Kielt,USA,Smooth Sliky Salty,18/01/2022,$504 ,504,87, $5.79 ,,
Brien Boise,USA,Manuka Honey Choco,22/08/2022,"$1,904 ",1904,8, $238.00 ,,
Roddy Speechley,USA,Drinking Coco,21/02/2022,"$3,003 ",3003,155, $19.37 ,,
Jehu Rudeforth,USA,Orange Choco,28/07/2022,$364 ,364,170, $2.14 ,,
Jehu Rudeforth,USA,Raspberry Choco,04/03/2022,"$7,154 ",7154,133, $53.79 ,,
Kelci Walkden,USA,Almond Choco,27/01/2022,"$5,180 ",5180,233, $22.23 ,,
Karlen McCaffrey,USA,Eclairs,15/08/2022,$868 ,868,125, $6.94 ,,
Gunar Cockshoot,USA,85% Dark Bars,30/06/2022,"$7,007 ",7007,135, $51.90 ,,
Brien Boise,USA,70% Dark Bites,14/04/2022,"$1,694 ",1694,21, $80.67 ,,
Husein Augar,USA,Fruit & Nut Bars,28/04/2022,"$1,288 ",1288,27, $47.70 ,,
Ches Bonnell,USA,Milk Bars,21/07/2022,"$2,408 ",2408,157, $15.34 ,,
Oby Sorrel,USA,Milk Bars,14/06/2022,"$1,736 ",1736,79, $21.97 ,,
Barr Faughny,USA,White Choc,05/05/2022,"$7,420 ",7420,163, $45.52 ,,
Roddy Speechley,USA,Milk Bars,16/05/2022,"$2,807 ",2807,252, $11.14 ,,
Gunar Cockshoot,USA,After Nines,15/08/2022,"$3,738 ",3738,261, $14.32 ,,
Wilone O'Kielt,USA,Drinking Coco,14/06/2022,"$1,029 ",1029,98, $10.50 ,,
Beverie Moffet,USA,70% Dark Bites,27/06/2022,"$2,275 ",2275,115, $19.78 ,,
Dennison Crosswaite,USA,Baker's Choco Chips,11/08/2022,"$17,465 ",17465,271, $64.45 ,,
Madelene Upcott,USA,Almond Choco,31/05/2022,"$10,143 ",10143,24, $422.63 ,,
Oby Sorrel,USA,Almond Choco,19/05/2022,"$6,440 ",6440,141, $45.67 ,,
Camilla Castle,USA,85% Dark Bars,25/04/2022,"$2,401 ",2401,78, $30.78 ,,
Camilla Castle,USA,Eclairs,10/06/2022,"$4,515 ",4515,392, $11.52 ,,
Gigi Bohling,USA,Milk Bars,16/06/2022,$476 ,476,133, $3.58 ,,
Barr Faughny,USA,Caramel Stuffed Bars,29/03/2022,"$3,318 ",3318,299, $11.10 ,,
Oby Sorrel,USA,Drinking Coco,11/03/2022,"$7,714 ",7714,44, $175.32 ,,
Curtice Advani,USA,After Nines,13/04/2022,"$14,147 ",14147,235, $60.20 ,,
Kaine Padly,USA,Spicy Special Slims,13/06/2022,"$2,107 ",2107,175, $12.04 ,,
Dotty Strutley,USA,Raspberry Choco,03/01/2022,"$3,437 ",3437,46, $74.72 ,,
Karlen McCaffrey,USA,White Choc,24/08/2022,"$4,592 ",4592,2," $2,296.00 ",,
Oby Sorrel,USA,Spicy Special Slims,07/02/2022,"$5,691 ",5691,417, $13.65 ,,
Marney O'Breen,USA,Peanut Butter Cubes,15/06/2022,$693 ,693,350, $1.98 ,,
Dennison Crosswaite,USA,Caramel Stuffed Bars,11/07/2022,"$2,317 ",2317,464, $4.99 ,,
Kaine Padly,USA,85% Dark Bars,22/06/2022,$483 ,483,259, $1.86 ,,
Madelene Upcott,USA,Choco Coated Almonds,07/06/2022,"$5,446 ",5446,132, $41.26 ,,
Dennison Crosswaite,USA,70% Dark Bites,15/03/2022,$658 ,658,77, $8.55 ,,
Gigi Bohling,USA,70% Dark Bites,14/01/2022,"$7,364 ",7364,196, $37.57 ,,
Dennison Crosswaite,USA,Smooth Sliky Salty,12/05/2022,"$11,781 ",11781,91, $129.46 ,,
Brien Boise,USA,Raspberry Choco,12/01/2022,$672 ,672,194, $3.46 ,,
Jehu Rudeforth,USA,White Choc,07/06/2022,"$6,559 ",6559,119, $55.12 ,,
